,Stock,Date,neg,neu,pos,compound,Open,High,Low,Close,Adj Close,Volume
0,AAPL,2023-10-01,0.0605,0.8815,0.0575,-0.4582,,,,,,
1,AAPL,2023-10-02,0.041,0.893,0.066,0.2672,171.220001,174.300003,170.929993,173.75,173.521393,52164500.0
2,AAPL,2023-10-03,0.0215,0.908,0.0705,0.9749,172.259995,173.630005,170.820007,172.399994,172.173172,49594600.0
3,AAPL,2023-10-04,0.017,0.883,0.1,0.9827,171.089996,174.210007,170.970001,173.660004,173.431519,53020300.0
4,AAPL,2023-10-05,0.018,0.8855,0.0965,0.9552,173.789993,175.449997,172.679993,174.910004,174.679871,48527900.0
5,AAPL,2023-10-06,0.0365,0.819,0.144,0.9986,173.800003,177.990005,173.179993,177.490005,177.256485,57224100.0
6,AAPL,2023-10-07,0.016,0.848,0.136,0.9996,,,,,,
7,AAPL,2023-10-08,0.014,0.8985,0.087,0.9927,,,,,,
8,AAPL,2023-10-09,0.014,0.8705,0.1145,0.9926,176.809998,179.050003,175.800003,178.990005,178.754501,42390800.0
9,AAPL,2023-10-10,0.0475,0.843,0.109,0.409,178.100006,179.720001,177.949997,178.389999,178.155289,43698000.0
10,AAPL,2023-10-11,0.0775,0.862,0.0605,-0.4294,178.199997,179.850006,177.600006,179.800003,179.563431,47551100.0
11,AAPL,2023-10-12,0.048,0.8905,0.0615,0.5066,180.070007,182.339996,179.039993,180.710007,180.472244,56743100.0
12,AAPL,2023-10-13,0.048,0.8905,0.0615,0.5066,181.419998,181.929993,178.139999,178.850006,178.614685,51427100.0
13,AAPL,2023-10-14,0.0385,0.865,0.0965,0.9893,,,,,,
14,AAPL,2023-10-15,0.048,0.856,0.0955,0.9822,,,,,,
15,AAPL,2023-10-16,0.0925,0.8075,0.1,0.005,176.75,179.080002,176.509995,178.720001,178.484863,52517000.0
16,AAPL,2023-10-17,0.004,0.8905,0.1055,0.9975,176.649994,178.419998,174.800003,177.149994,176.916916,57549400.0
17,AAPL,2023-10-18,0.0385,0.857,0.105,0.2971,175.580002,177.580002,175.110001,175.839996,175.608643,54764400.0
18,AAPL,2023-10-19,0.025,0.848,0.127,0.9651,176.039993,177.839996,175.190002,175.460007,175.229156,59302900.0
19,AAPL,2023-10-20,0.025,0.848,0.127,0.9651,175.309998,175.419998,172.639999,172.880005,172.652542,64189300.0
20,AAPL,2023-10-21,0.0115,0.893,0.096,0.9934,,,,,,
21,AAPL,2023-10-22,0.013,0.8565,0.131,0.9965,,,,,,
22,AAPL,2023-10-23,0.02,0.857,0.1235,0.9929,170.910004,174.009995,169.929993,173.0,172.772385,55980100.0
23,AAPL,2023-10-24,0.0165,0.9205,0.063,0.9069,173.050003,173.669998,171.449997,173.440002,173.211807,43816600.0
24,AAPL,2023-10-25,0.0165,0.9205,0.063,0.9069,171.880005,173.059998,170.649994,171.100006,170.874893,57157000.0
25,AAPL,2023-10-26,0.0445,0.8575,0.098,0.9924,170.369995,171.380005,165.669998,166.889999,166.670425,70625300.0
26,AAPL,2023-10-27,0.0445,0.8575,0.098,0.9924,166.910004,168.960007,166.830002,168.220001,167.998672,58499100.0
27,AAPL,2023-10-28,0.063,0.852,0.085,0.7656,,,,,,
28,AAPL,2023-10-29,0.022,0.893,0.085,0.9895,,,,,,
29,AAPL,2023-10-30,0.015,0.8685,0.117,0.9913,169.020004,171.169998,168.869995,170.289993,170.065933,51131000.0
30,INTC,2023-10-01,0.0155,0.8655,0.1195,0.9962,,,,,,
31,INTC,2023-10-02,0.0155,0.8655,0.1195,0.9962,35.610001,35.98,34.98,35.459999,35.343781,26086200.0
32,INTC,2023-10-03,0.015,0.864,0.1215,0.9826,35.27,36.540001,35.27,35.689999,35.573029,45292600.0
33,INTC,2023-10-04,0.0175,0.839,0.144,0.9988,36.52,36.52,35.330002,35.93,35.812244,39842200.0
34,INTC,2023-10-05,0.0095,0.866,0.1245,0.9883,35.970001,36.099998,35.599998,35.889999,35.772373,25771200.0
35,INTC,2023-10-06,0.0155,0.887,0.097,0.9582,35.869999,36.459999,35.18,36.189999,36.071388,33252300.0
36,INTC,2023-10-07,0.024,0.8405,0.1355,0.9958,,,,,,
37,INTC,2023-10-08,0.026,0.8935,0.0805,0.8649,,,,,,
38,INTC,2023-10-09,0.0055,0.869,0.1255,0.9888,35.700001,36.169998,35.5,36.060001,35.941818,19376100.0
39,INTC,2023-10-10,0.0085,0.853,0.1385,0.9951,36.139999,36.740002,35.810001,36.43,36.310604,24044100.0
40,INTC,2023-10-11,0.0175,0.87,0.1125,0.995,36.619999,37.029999,36.380001,36.880001,36.759129,19262600.0
41,INTC,2023-10-12,0.0315,0.8585,0.1105,0.9986,36.799999,37.220001,36.389999,36.84,36.719261,23639200.0
42,INTC,2023-10-13,0.035,0.847,0.1185,0.9587,36.740002,36.790001,35.860001,35.970001,35.852112,28390100.0
43,INTC,2023-10-14,0.0685,0.843,0.0885,0.931,,,,,,
44,INTC,2023-10-15,0.029,0.8795,0.091,0.9914,,,,,,
45,INTC,2023-10-16,0.015,0.8395,0.1455,0.9948,36.139999,36.939999,36.080002,36.560001,36.440178,29555800.0
46,INTC,2023-10-17,0.026,0.8915,0.0825,0.9826,35.919998,36.349998,35.07,36.060001,35.941818,24993600.0
47,INTC,2023-10-18,0.0275,0.871,0.1015,0.8705,35.52,36.02,35.450001,35.639999,35.523193,22086000.0
48,INTC,2023-10-19,0.0275,0.871,0.1015,0.8705,35.959999,36.360001,35.52,35.669998,35.553093,29201800.0
49,INTC,2023-10-20,0.0315,0.9195,0.049,0.4879,35.650002,36.279999,34.869999,34.919998,34.80555,32291800.0
50,INTC,2023-10-21,0.064,0.806,0.13,0.9982,,,,,,
51,INTC,2023-10-22,0.041,0.8535,0.105,0.9736,,,,,,
52,INTC,2023-10-23,0.0305,0.8705,0.099,0.9734,34.599998,35.189999,33.389999,33.849998,33.739059,53924700.0
53,INTC,2023-10-24,0.0125,0.8835,0.104,0.9891,33.639999,34.709999,33.639999,34.59,34.476635,52673900.0
54,INTC,2023-10-25,0.004,0.9045,0.0915,0.9345,34.18,34.450001,32.549999,32.830002,32.722404,44658500.0
55,INTC,2023-10-26,0.03,0.8585,0.1115,0.9962,32.889999,33.220001,32.150002,32.52,32.413418,59142500.0
56,INTC,2023-10-27,0.0425,0.819,0.1385,0.9947,34.66,36.380001,34.599998,35.540001,35.423523,84128200.0
57,INTC,2023-10-28,0.067,0.8395,0.093,0.8816,,,,,,
58,INTC,2023-10-29,0.0255,0.835,0.139,0.9932,,,,,,
59,INTC,2023-10-30,0.017,0.8675,0.1155,0.9908,35.470001,35.959999,34.919998,35.689999,35.573029,36656300.0
60,JPM,2023-10-01,0.048,0.8675,0.085,0.2792,,,,,,
61,JPM,2023-10-02,0.0905,0.8305,0.0785,-0.03,144.830002,145.619995,142.630005,143.770004,142.716919,9170600.0
62,JPM,2023-10-03,0.0725,0.875,0.0525,-0.0554,143.199997,143.589996,142.350006,142.710007,141.664688,9431100.0
63,JPM,2023-10-04,0.079,0.856,0.065,-0.0323,143.190002,143.470001,141.929993,143.350006,142.300003,8128700.0
64,JPM,2023-10-05,0.0825,0.759,0.1585,0.9917,142.039993,143.100006,140.830002,142.899994,142.899994,8576200.0
65,JPM,2023-10-06,0.0825,0.759,0.1585,0.9917,142.910004,145.880005,142.139999,145.100006,145.100006,10269400.0
66,JPM,2023-10-07,0.0625,0.873,0.064,0.18,,,,,,
67,JPM,2023-10-08,0.0735,0.8485,0.078,0.038,,,,,,
68,JPM,2023-10-09,0.04,0.848,0.1125,0.9622,143.660004,145.399994,143.5,144.770004,144.770004,6964900.0
69,JPM,2023-10-10,0.0045,0.8905,0.105,0.9696,145.419998,146.770004,145.279999,145.649994,145.649994,11288800.0
70,JPM,2023-10-11,0.05,0.84,0.11,0.9138,146.509995,147.229996,145.020004,146.149994,146.149994,8698200.0
71,JPM,2023-10-12,0.0685,0.7835,0.1475,0.9895,146.300003,146.960007,145.130005,145.809998,145.809998,10484400.0
72,JPM,2023-10-13,0.0685,0.7835,0.1475,0.9895,148.5,153.110001,147.839996,148.0,148.0,29427000.0
73,JPM,2023-10-14,0.0475,0.8595,0.093,0.9782,,,,,,
74,JPM,2023-10-15,0.055,0.845,0.1,0.9839,,,,,,
75,JPM,2023-10-16,0.06,0.8355,0.1045,0.9849,149.449997,149.520004,146.720001,147.850006,147.850006,12663500.0
76,JPM,2023-10-17,0.05,0.8085,0.142,0.9942,147.570007,149.309998,146.789993,147.529999,147.529999,11482700.0
77,JPM,2023-10-18,0.05,0.8085,0.142,0.9942,146.589996,147.479996,145.369995,145.910004,145.910004,9620300.0
78,JPM,2023-10-19,0.03,0.8135,0.156,0.9992,145.479996,147.020004,144.880005,145.289993,145.289993,11143600.0
79,JPM,2023-10-20,0.03,0.8135,0.156,0.9992,144.570007,145.139999,142.119995,142.949997,142.949997,13332000.0
80,JPM,2023-10-21,0.044,0.862,0.094,0.9591,,,,,,
81,JPM,2023-10-22,0.045,0.847,0.108,0.9764,,,,,,
82,JPM,2023-10-23,0.0755,0.8655,0.059,-0.6851,142.940002,143.679993,140.729996,141.0,141.0,10133400.0
83,JPM,2023-10-24,0.0755,0.8655,0.059,-0.6851,141.190002,141.729996,140.360001,141.169998,141.169998,8881400.0
84,JPM,2023-10-25,0.0555,0.842,0.102,0.9308,140.570007,141.179993,139.509995,140.399994,140.399994,8242600.0
85,JPM,2023-10-26,0.0325,0.8725,0.095,0.7685,139.759995,141.669998,139.429993,140.759995,140.759995,9109400.0
86,JPM,2023-10-27,0.0325,0.8725,0.095,0.7685,138.949997,139.100006,135.190002,135.690002,135.690002,17434700.0
87,JPM,2023-10-28,0.0525,0.8015,0.1465,0.97,,,,,,
88,JPM,2023-10-29,0.021,0.8515,0.127,0.8674,,,,,,
89,JPM,2023-10-30,0.0265,0.8025,0.171,0.999,136.440002,138.039993,136.039993,137.419998,137.419998,9855500.0
90,PYPL,2023-10-01,0.0265,0.8195,0.154,0.997,,,,,,
91,PYPL,2023-10-02,0.024,0.878,0.098,0.9981,58.619999,59.639999,58.005001,58.560001,58.560001,12961500.0
92,PYPL,2023-10-03,0.025,0.8595,0.116,0.9989,57.889999,58.650002,57.119999,57.299999,57.299999,12014000.0
93,PYPL,2023-10-04,0.019,0.867,0.1145,0.9954,58.110001,58.654999,57.310001,58.57,58.57,11019600.0
94,PYPL,2023-10-05,0.0465,0.8675,0.086,0.6775,58.389999,58.66,57.259998,57.48,57.48,13037200.0
95,PYPL,2023-10-06,0.081,0.842,0.077,0.3638,56.830002,58.248001,55.860001,57.77,57.77,18344500.0
96,PYPL,2023-10-07,0.0055,0.8285,0.166,0.9998,,,,,,
97,PYPL,2023-10-08,0.0055,0.8285,0.166,0.9998,,,,,,
98,PYPL,2023-10-09,0.026,0.8955,0.078,0.6553,56.994999,58.09,56.318001,57.959999,57.959999,10376600.0
99,PYPL,2023-10-10,0.032,0.8745,0.093,0.9808,57.959999,58.5,57.41,57.720001,57.720001,17455200.0
100,PYPL,2023-10-11,0.006,0.922,0.072,0.6654,58.110001,58.889999,57.580002,58.07,58.07,10866200.0
101,PYPL,2023-10-12,0.054,0.811,0.135,0.9725,58.09,58.105,56.240002,56.355,56.355,13497100.0
102,PYPL,2023-10-13,0.057,0.795,0.148,0.9998,56.5,56.880001,55.529999,55.75,55.75,12048500.0
103,PYPL,2023-10-14,0.03,0.818,0.152,0.9982,,,,,,
104,PYPL,2023-10-15,0.0045,0.8735,0.1225,0.9979,,,,,,
105,PYPL,2023-10-16,0.007,0.8835,0.11,0.999,56.110001,57.080002,55.810001,57.0,57.0,14267700.0
106,PYPL,2023-10-17,0.0175,0.8705,0.112,0.9861,56.509998,57.59,56.490002,57.16,57.16,10325200.0
107,PYPL,2023-10-18,0.026,0.852,0.121,0.993,56.529999,57.097,55.705002,55.799999,55.799999,10514500.0
108,PYPL,2023-10-19,0.094,0.8595,0.0465,-0.4552,55.66,56.400002,54.700001,54.810001,54.810001,16298500.0
109,PYPL,2023-10-20,0.094,0.8595,0.0465,-0.4552,53.990002,54.470001,53.34,53.389999,53.389999,20966100.0
110,PYPL,2023-10-21,0.061,0.8275,0.1115,0.0209,,,,,,
111,PYPL,2023-10-22,0.012,0.885,0.103,0.9914,,,,,,
112,PYPL,2023-10-23,0.031,0.866,0.103,0.9888,52.919998,54.125,52.650002,53.450001,53.450001,13629400.0
113,PYPL,2023-10-24,0.0575,0.807,0.1355,0.9965,53.880001,54.610001,53.59,54.240002,54.240002,9733900.0
114,PYPL,2023-10-25,0.0575,0.807,0.1355,0.9965,52.549999,52.779999,51.23,51.490002,51.490002,22784100.0
115,PYPL,2023-10-26,0.0295,0.7825,0.188,0.9986,51.5,52.25,51.060001,51.75,51.75,17045600.0
116,PYPL,2023-10-27,0.0555,0.7635,0.1805,0.9938,51.509998,51.669998,50.25,50.389999,50.389999,18382700.0
117,PYPL,2023-10-28,0.0355,0.8195,0.145,0.9907,,,,,,
118,PYPL,2023-10-29,0.0375,0.8435,0.119,0.8405,,,,,,
119,PYPL,2023-10-30,0.0315,0.8435,0.1255,0.9788,50.950001,51.445,50.575001,51.049999,51.049999,13168900.0
