Date,Open,High,Low,Close,Adj Close,Volume,Stock
2023-10-02,302.73999,307.179993,301.630005,306.820007,306.820007,16265600,FB
2023-10-03,304.26001,306.769989,299.640015,300.940002,300.940002,17362300,FB
2023-10-04,298.730011,306.899994,298.5,305.579987,305.579987,16880500,FB
2023-10-05,304.630005,306.209991,299.5,304.790009,304.790009,19130000,FB
2023-10-06,301.440002,316.309998,300.910004,315.429993,315.429993,21784000,FB
2023-10-09,312.5,320.329987,311.820007,318.359985,318.359985,22503700,FB
2023-10-10,319.119995,324.660004,318.160004,321.839996,321.839996,19038000,FB
2023-10-11,323.01001,328.839996,322.950012,327.820007,327.820007,22036300,FB
2023-10-12,328.0,330.540009,322.690002,324.160004,324.160004,20530500,FB
2023-10-13,323.529999,325.049988,312.369995,314.690002,314.690002,21341000,FB
2023-10-16,318.640015,321.820007,315.519989,321.149994,321.149994,16536100,FB
2023-10-17,318.179993,324.399994,317.299988,324.0,324.0,16387800,FB
2023-10-18,321.390015,325.940002,315.559998,316.970001,316.970001,16851000,FB
2023-10-19,319.880005,321.890015,311.75,312.809998,312.809998,18709200,FB
2023-10-20,314.140015,315.299988,306.470001,308.649994,308.649994,22287400,FB
2023-10-23,309.5,317.359985,307.26001,314.01001,314.01001,17796800,FB
2023-10-24,316.779999,318.350006,310.630005,312.549988,312.549988,19525500,FB
2023-10-25,310.0,310.880005,298.839996,299.529999,299.529999,42192500,FB
2023-10-26,295.0,295.0,279.399994,288.350006,288.350006,66684100,FB
2023-10-27,294.480011,299.309998,292.970001,296.730011,296.730011,29596300,FB
2023-10-30,299.089996,309.399994,299.049988,302.660004,302.660004,28435100,FB
2023-10-31,303.309998,303.679993,296.859985,301.269989,301.269989,19434200,FB
2023-10-02,131.210007,134.419998,131.169998,134.169998,134.169998,22288000,GOOGL
2023-10-03,133.940002,134.259995,131.839996,132.429993,132.429993,22989400,GOOGL
2023-10-04,132.789993,135.570007,132.529999,135.240005,135.240005,26752300,GOOGL
2023-10-05,135.070007,135.490005,133.449997,135.070007,135.070007,19832600,GOOGL
2023-10-06,134.009995,138.160004,134.009995,137.580002,137.580002,27583200,GOOGL
2023-10-09,136.940002,138.940002,135.610001,138.419998,138.419998,19278100,GOOGL
2023-10-10,138.5,139.720001,137.330002,138.059998,138.059998,27786600,GOOGL
2023-10-11,138.580002,141.110001,138.580002,140.550003,140.550003,25884300,GOOGL
2023-10-12,141.050003,141.220001,138.259995,138.970001,138.970001,24765500,GOOGL
2023-10-13,139.380005,140.0,136.619995,137.360001,137.360001,23420500,GOOGL
2023-10-16,138.169998,139.630005,137.990005,139.100006,139.100006,28501900,GOOGL
2023-10-17,138.630005,139.899994,137.179993,139.720001,139.720001,23515800,GOOGL
2023-10-18,139.449997,140.720001,137.380005,137.960007,137.960007,23375000,GOOGL
2023-10-19,138.5,139.660004,137.380005,137.75,137.75,26066000,GOOGL
2023-10-20,137.330002,137.869995,135.080002,135.600006,135.600006,26315200,GOOGL
2023-10-23,135.039993,137.660004,133.949997,136.5,136.5,26317900,GOOGL
2023-10-24,137.830002,139.360001,137.419998,138.809998,138.809998,44814300,GOOGL
2023-10-25,128.160004,128.309998,125.07,125.610001,125.610001,84366200,GOOGL
2023-10-26,123.269997,124.330002,121.269997,122.279999,122.279999,57061100,GOOGL
2023-10-27,122.879997,123.309998,120.209999,122.169998,122.169998,44566500,GOOGL
2023-10-30,123.209999,125.400002,122.75,124.459999,124.459999,28940100,GOOGL
2023-10-31,125.059998,125.370003,122.690002,124.080002,124.080002,26292300,GOOGL
2023-10-02,316.279999,321.890015,315.179993,321.799988,321.148163,20570000,MSFT
2023-10-03,320.829987,321.390015,311.209991,313.390015,312.755219,21033500,MSFT
2023-10-04,314.029999,320.040009,314.0,318.959991,318.313934,20720100,MSFT
2023-10-05,319.089996,319.980011,314.899994,319.359985,318.713104,16965600,MSFT
2023-10-06,316.549988,329.190002,316.299988,327.26001,326.597137,25645500,MSFT
2023-10-09,324.75,330.299988,323.179993,329.820007,329.151947,19891200,MSFT
2023-10-10,330.959991,331.100006,327.670013,328.390015,327.724854,20557100,MSFT
2023-10-11,331.209991,332.820007,329.140015,332.420013,331.746674,20063200,MSFT
2023-10-12,330.570007,333.630005,328.720001,331.160004,330.489227,19313100,MSFT
2023-10-13,332.380005,333.829987,326.359985,327.730011,327.066193,21072400,MSFT
2023-10-16,331.049988,336.140015,330.600006,332.640015,331.966248,22158000,MSFT
2023-10-17,329.589996,333.459991,327.410004,332.059998,331.38739,18338500,MSFT
2023-10-18,332.48999,335.589996,328.299988,330.109985,329.441345,23153600,MSFT
2023-10-19,332.149994,336.880005,330.910004,331.320007,330.648895,25052100,MSFT
2023-10-20,331.720001,331.920013,325.450012,326.670013,326.008331,25012600,MSFT
2023-10-23,325.470001,332.730011,324.390015,329.320007,328.652954,24374700,MSFT
2023-10-24,331.299988,331.839996,327.600006,330.529999,329.860504,31153600,MSFT
2023-10-25,345.019989,346.200012,337.619995,340.670013,339.97998,55053800,MSFT
2023-10-26,340.540009,341.630005,326.940002,327.890015,327.225861,37828500,MSFT
2023-10-27,330.429993,336.720001,328.399994,329.809998,329.141968,29856500,MSFT
2023-10-30,333.410004,339.450012,331.829987,337.309998,336.62677,22828100,MSFT
2023-10-31,338.850006,339.0,334.690002,338.109985,337.42514,20265300,MSFT
2023-10-02,244.809998,254.279999,242.619995,251.600006,251.600006,123810400,TSLA
2023-10-03,248.610001,250.020004,244.449997,246.529999,246.529999,101985300,TSLA
2023-10-04,248.139999,261.859985,247.600006,261.160004,261.160004,129721600,TSLA
2023-10-05,260.0,263.600006,256.25,260.049988,260.049988,119159200,TSLA
2023-10-06,253.979996,261.649994,250.649994,260.529999,260.529999,117947000,TSLA
2023-10-09,255.309998,261.359985,252.050003,259.670013,259.670013,101377900,TSLA
2023-10-10,257.75,268.940002,257.649994,263.619995,263.619995,122656000,TSLA
2023-10-11,266.200012,268.600006,260.899994,262.98999,262.98999,103706300,TSLA
2023-10-12,262.920013,265.410004,256.630005,258.869995,258.869995,111508100,TSLA
2023-10-13,258.899994,259.600006,250.220001,251.119995,251.119995,102073800,TSLA
2023-10-16,250.050003,255.399994,248.479996,253.919998,253.919998,88917200,TSLA
2023-10-17,250.100006,257.179993,247.080002,254.850006,254.850006,93562900,TSLA
2023-10-18,252.699997,254.630005,242.080002,242.679993,242.679993,125147800,TSLA
2023-10-19,225.949997,230.610001,216.779999,220.110001,220.110001,170772700,TSLA
2023-10-20,217.009995,218.860001,210.419998,211.990005,211.990005,137734000,TSLA
2023-10-23,210.0,216.979996,202.509995,212.080002,212.080002,150683400,TSLA
2023-10-24,216.5,222.050003,214.110001,216.520004,216.520004,118231100,TSLA
2023-10-25,215.880005,220.100006,212.199997,212.419998,212.419998,107065100,TSLA
2023-10-26,211.320007,214.800003,204.880005,205.759995,205.759995,115112600,TSLA
2023-10-27,210.600006,212.410004,205.770004,207.300003,207.300003,94881200,TSLA
2023-10-30,209.279999,210.880005,194.669998,197.360001,197.360001,136448200,TSLA
2023-10-31,196.119995,202.800003,194.070007,200.839996,200.839996,118068300,TSLA
